premise_id,persona,persona_label,context,angle,text,product_tension,passed_deterministic_filter,filter_reason
P01-18,absurdist,Absurdist,a family video call with three people talking at once,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in a family video call with three people talking at once certifies unbranded white wired earbuds as the only object allowed to explain lost earbuds.,lost earbuds / clear calls and simple audio without wireless anxiety,,
P01-19,absurdist,Absurdist,a hotel lobby with suspiciously perfect furniture,treats the product as an impossible civic institution,A hotel lobby with suspiciously perfect furniture appoints unbranded white wired earbuds as the only legal witness to a public argument about awkward calls.,awkward calls / clear calls and simple audio without wireless anxiety,,
P01-20,absurdist,Absurdist,a hotel lobby with suspiciously perfect furniture,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in a hotel lobby with suspiciously perfect furniture certifies unbranded white wired earbuds as the only object allowed to explain social judgment.,social judgment / clear calls and simple audio without wireless anxiety,,
P02-01,cynic,Cynic,a crowded morning train,exposes productivity culture as a status performance,"In a crowded morning train, a productivity coach promotes unbranded white wired earbuds as the moral solution to noise.",noise / clear calls and simple audio without wireless anxiety,,
P02-02,cynic,Cynic,a crowded morning train,frames the promise as a small rebellion against upgrade theater,"In a crowded morning train, a startup demo calls unbranded white wired earbuds liberation from dead wireless batteries, though nothing changes except the wire.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P02-03,cynic,Cynic,an open-plan office,exposes productivity culture as a status performance,"In an open-plan office, a productivity coach promotes unbranded white wired earbuds as the moral solution to lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P02-04,cynic,Cynic,an open-plan office,frames the promise as a small rebellion against upgrade theater,"In an open-plan office, a startup demo calls unbranded white wired earbuds liberation from awkward calls, though nothing changes except the wire.",awkward calls / clear calls and simple audio without wireless anxiety,,
P02-05,cynic,Cynic,a coffee shop with one broken table leg,exposes productivity culture as a status performance,"In a coffee shop with one broken table leg, a productivity coach promotes unbranded white wired earbuds as the moral solution to social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P02-06,cynic,Cynic,a coffee shop with one broken table leg,frames the promise as a small rebellion against upgrade theater,"In a coffee shop with one broken table leg, a startup demo calls unbranded white wired earbuds liberation from noise, though nothing changes except the wire.",noise / clear calls and simple audio without wireless anxiety,,
P02-07,cynic,Cynic,a kitchen where dinner is burning,exposes productivity culture as a status performance,"In a kitchen where dinner is burning, a productivity coach promotes unbranded white wired earbuds as the moral solution to dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P02-08,cynic,Cynic,a kitchen where dinner is burning,frames the promise as a small rebellion against upgrade theater,"In a kitchen where dinner is burning, a startup demo calls unbranded white wired earbuds liberation from lost earbuds, though nothing changes except the wire.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P02-09,cynic,Cynic,an airport gate with four delayed flights,exposes productivity culture as a status performance,"In an airport gate with four delayed flights, a productivity coach promotes unbranded white wired earbuds as the moral solution to awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P02-10,cynic,Cynic,an airport gate with four delayed flights,frames the promise as a small rebellion against upgrade theater,"In an airport gate with four delayed flights, a startup demo calls unbranded white wired earbuds liberation from social judgment, though nothing changes except the wire.",social judgment / clear calls and simple audio without wireless anxiety,,
P02-11,cynic,Cynic,a home office shared with a loud pet,exposes productivity culture as a status performance,"In a home office shared with a loud pet, a productivity coach promotes unbranded white wired earbuds as the moral solution to noise.",noise / clear calls and simple audio without wireless anxiety,,
P02-12,cynic,Cynic,a home office shared with a loud pet,frames the promise as a small rebellion against upgrade theater,"In a home office shared with a loud pet, a startup demo calls unbranded white wired earbuds liberation from dead wireless batteries, though nothing changes except the wire.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P02-13,cynic,Cynic,a library that permits whispering only,exposes productivity culture as a status performance,"In a library that permits whispering only, a productivity coach promotes unbranded white wired earbuds as the moral solution to lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P02-14,cynic,Cynic,a library that permits whispering only,frames the promise as a small rebellion against upgrade theater,"In a library that permits whispering only, a startup demo calls unbranded white wired earbuds liberation from awkward calls, though nothing changes except the wire.",awkward calls / clear calls and simple audio without wireless anxiety,,
P02-15,cynic,Cynic,a sidewalk construction zone,exposes productivity culture as a status performance,"In a sidewalk construction zone, a productivity coach promotes unbranded white wired earbuds as the moral solution to social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P02-16,cynic,Cynic,a sidewalk construction zone,frames the promise as a small rebellion against upgrade theater,"In a sidewalk construction zone, a startup demo calls unbranded white wired earbuds liberation from noise, though nothing changes except the wire.",noise / clear calls and simple audio without wireless anxiety,,
P02-17,cynic,Cynic,a family video call with three people talking at once,exposes productivity culture as a status performance,"In a family video call with three people talking at once, a productivity coach promotes unbranded white wired earbuds as the moral solution to dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P02-18,cynic,Cynic,a family video call with three people talking at once,frames the promise as a small rebellion against upgrade theater,"In a family video call with three people talking at once, a startup demo calls unbranded white wired earbuds liberation from lost earbuds, though nothing changes except the wire.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P02-19,cynic,Cynic,a hotel lobby with suspiciously perfect furniture,exposes productivity culture as a status performance,"In a hotel lobby with suspiciously perfect furniture, a productivity coach promotes unbranded white wired earbuds as the moral solution to awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P02-20,cynic,Cynic,a hotel lobby with suspiciously perfect furniture,frames the promise as a small rebellion against upgrade theater,"In a hotel lobby with suspiciously perfect furniture, a startup demo calls unbranded white wired earbuds liberation from social judgment, though nothing changes except the wire.",social judgment / clear calls and simple audio without wireless anxiety,,
P03-01,worrier,Worrier,a crowded morning train,imagines the most socially awkward low-stakes catastrophe,"In a crowded morning train, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about noise.",noise / clear calls and simple audio without wireless anxiety,,
P03-02,worrier,Worrier,a crowded morning train,turns ordinary call noise into an anxious inner monologue,"In a crowded morning train, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P03-03,worrier,Worrier,an open-plan office,imagines the most socially awkward low-stakes catastrophe,"In an open-plan office, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P03-04,worrier,Worrier,an open-plan office,turns ordinary call noise into an anxious inner monologue,"In an open-plan office, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P03-05,worrier,Worrier,a coffee shop with one broken table leg,imagines the most socially awkward low-stakes catastrophe,"In a coffee shop with one broken table leg, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P03-06,worrier,Worrier,a coffee shop with one broken table leg,turns ordinary call noise into an anxious inner monologue,"In a coffee shop with one broken table leg, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of noise.",noise / clear calls and simple audio without wireless anxiety,,
P03-07,worrier,Worrier,a kitchen where dinner is burning,imagines the most socially awkward low-stakes catastrophe,"In a kitchen where dinner is burning, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P03-08,worrier,Worrier,a kitchen where dinner is burning,turns ordinary call noise into an anxious inner monologue,"In a kitchen where dinner is burning, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P03-09,worrier,Worrier,an airport gate with four delayed flights,imagines the most socially awkward low-stakes catastrophe,"In an airport gate with four delayed flights, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P03-10,worrier,Worrier,an airport gate with four delayed flights,turns ordinary call noise into an anxious inner monologue,"In an airport gate with four delayed flights, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P03-11,worrier,Worrier,a home office shared with a loud pet,imagines the most socially awkward low-stakes catastrophe,"In a home office shared with a loud pet, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about noise.",noise / clear calls and simple audio without wireless anxiety,,
P03-12,worrier,Worrier,a home office shared with a loud pet,turns ordinary call noise into an anxious inner monologue,"In a home office shared with a loud pet, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P03-13,worrier,Worrier,a library that permits whispering only,imagines the most socially awkward low-stakes catastrophe,"In a library that permits whispering only, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P03-14,worrier,Worrier,a library that permits whispering only,turns ordinary call noise into an anxious inner monologue,"In a library that permits whispering only, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P03-15,worrier,Worrier,a sidewalk construction zone,imagines the most socially awkward low-stakes catastrophe,"In a sidewalk construction zone, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P03-16,worrier,Worrier,a sidewalk construction zone,turns ordinary call noise into an anxious inner monologue,"In a sidewalk construction zone, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of noise.",noise / clear calls and simple audio without wireless anxiety,,
P03-17,worrier,Worrier,a family video call with three people talking at once,imagines the most socially awkward low-stakes catastrophe,"In a family video call with three people talking at once, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P03-18,worrier,Worrier,a family video call with three people talking at once,turns ordinary call noise into an anxious inner monologue,"In a family video call with three people talking at once, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P03-19,worrier,Worrier,a hotel lobby with suspiciously perfect furniture,imagines the most socially awkward low-stakes catastrophe,"In a hotel lobby with suspiciously perfect furniture, someone becomes convinced that unbranded white wired earbuds are broadcasting every private thought about awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P03-20,worrier,Worrier,a hotel lobby with suspiciously perfect furniture,turns ordinary call noise into an anxious inner monologue,"In a hotel lobby with suspiciously perfect furniture, someone rehearses one sentence for minutes, convinced unbranded white wired earbuds will expose their fear of social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P04-01,innocent,Innocent Literalist,a crowded morning train,takes the product promise with embarrassing literal precision,"In a crowded morning train, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to noise.",noise / clear calls and simple audio without wireless anxiety,,
P04-02,innocent,Innocent Literalist,a crowded morning train,misunderstands a normal social cue because the audio is too clear,"In a crowded morning train, someone assumes unbranded white wired earbuds can legally resolve dead wireless batteries because the package said 'clear calls and simple audio without wireless anxiety'.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P04-03,innocent,Innocent Literalist,an open-plan office,takes the product promise with embarrassing literal precision,"In an open-plan office, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P04-04,innocent,Innocent Literalist,an open-plan office,misunderstands a normal social cue because the audio is too clear,"In an open-plan office, someone assumes unbranded white wired earbuds can legally resolve awkward calls because the package said 'clear calls and simple audio without wireless anxiety'.",awkward calls / clear calls and simple audio without wireless anxiety,,
P04-05,innocent,Innocent Literalist,a coffee shop with one broken table leg,takes the product promise with embarrassing literal precision,"In a coffee shop with one broken table leg, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P04-06,innocent,Innocent Literalist,a coffee shop with one broken table leg,misunderstands a normal social cue because the audio is too clear,"In a coffee shop with one broken table leg, someone assumes unbranded white wired earbuds can legally resolve noise because the package said 'clear calls and simple audio without wireless anxiety'.",noise / clear calls and simple audio without wireless anxiety,,
P04-07,innocent,Innocent Literalist,a kitchen where dinner is burning,takes the product promise with embarrassing literal precision,"In a kitchen where dinner is burning, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P04-08,innocent,Innocent Literalist,a kitchen where dinner is burning,misunderstands a normal social cue because the audio is too clear,"In a kitchen where dinner is burning, someone assumes unbranded white wired earbuds can legally resolve lost earbuds because the package said 'clear calls and simple audio without wireless anxiety'.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P04-09,innocent,Innocent Literalist,an airport gate with four delayed flights,takes the product promise with embarrassing literal precision,"In an airport gate with four delayed flights, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P04-10,innocent,Innocent Literalist,an airport gate with four delayed flights,misunderstands a normal social cue because the audio is too clear,"In an airport gate with four delayed flights, someone assumes unbranded white wired earbuds can legally resolve social judgment because the package said 'clear calls and simple audio without wireless anxiety'.",social judgment / clear calls and simple audio without wireless anxiety,,
P04-11,innocent,Innocent Literalist,a home office shared with a loud pet,takes the product promise with embarrassing literal precision,"In a home office shared with a loud pet, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to noise.",noise / clear calls and simple audio without wireless anxiety,,
P04-12,innocent,Innocent Literalist,a home office shared with a loud pet,misunderstands a normal social cue because the audio is too clear,"In a home office shared with a loud pet, someone assumes unbranded white wired earbuds can legally resolve dead wireless batteries because the package said 'clear calls and simple audio without wireless anxiety'.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P04-13,innocent,Innocent Literalist,a library that permits whispering only,takes the product promise with embarrassing literal precision,"In a library that permits whispering only, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P04-14,innocent,Innocent Literalist,a library that permits whispering only,misunderstands a normal social cue because the audio is too clear,"In a library that permits whispering only, someone assumes unbranded white wired earbuds can legally resolve awkward calls because the package said 'clear calls and simple audio without wireless anxiety'.",awkward calls / clear calls and simple audio without wireless anxiety,,
P04-15,innocent,Innocent Literalist,a sidewalk construction zone,takes the product promise with embarrassing literal precision,"In a sidewalk construction zone, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P04-16,innocent,Innocent Literalist,a sidewalk construction zone,misunderstands a normal social cue because the audio is too clear,"In a sidewalk construction zone, someone assumes unbranded white wired earbuds can legally resolve noise because the package said 'clear calls and simple audio without wireless anxiety'.",noise / clear calls and simple audio without wireless anxiety,,
P04-17,innocent,Innocent Literalist,a family video call with three people talking at once,takes the product promise with embarrassing literal precision,"In a family video call with three people talking at once, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P04-18,innocent,Innocent Literalist,a family video call with three people talking at once,misunderstands a normal social cue because the audio is too clear,"In a family video call with three people talking at once, someone assumes unbranded white wired earbuds can legally resolve lost earbuds because the package said 'clear calls and simple audio without wireless anxiety'.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P04-19,innocent,Innocent Literalist,a hotel lobby with suspiciously perfect furniture,takes the product promise with embarrassing literal precision,"In a hotel lobby with suspiciously perfect furniture, someone takes the phrase 'clear calls and simple audio without wireless anxiety' literally while everyone else reacts to awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P04-20,innocent,Innocent Literalist,a hotel lobby with suspiciously perfect furniture,misunderstands a normal social cue because the audio is too clear,"In a hotel lobby with suspiciously perfect furniture, someone assumes unbranded white wired earbuds can legally resolve social judgment because the package said 'clear calls and simple audio without wireless anxiety'.",social judgment / clear calls and simple audio without wireless anxiety,,
P05-01,status,Status Obsessive,a crowded morning train,treats the accessory as an unexpected class signal,"In a crowded morning train, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames noise.",noise / clear calls and simple audio without wireless anxiety,,
P05-02,status,Status Obsessive,a crowded morning train,converts a mundane audio choice into a rivalry,"In a crowded morning train, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming dead wireless batteries on everyone else.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P05-03,status,Status Obsessive,an open-plan office,treats the accessory as an unexpected class signal,"In an open-plan office, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P05-04,status,Status Obsessive,an open-plan office,converts a mundane audio choice into a rivalry,"In an open-plan office, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming awkward calls on everyone else.",awkward calls / clear calls and simple audio without wireless anxiety,,
P05-05,status,Status Obsessive,a coffee shop with one broken table leg,treats the accessory as an unexpected class signal,"In a coffee shop with one broken table leg, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P05-06,status,Status Obsessive,a coffee shop with one broken table leg,converts a mundane audio choice into a rivalry,"In a coffee shop with one broken table leg, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming noise on everyone else.",noise / clear calls and simple audio without wireless anxiety,,
P05-07,status,Status Obsessive,a kitchen where dinner is burning,treats the accessory as an unexpected class signal,"In a kitchen where dinner is burning, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P05-08,status,Status Obsessive,a kitchen where dinner is burning,converts a mundane audio choice into a rivalry,"In a kitchen where dinner is burning, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming lost earbuds on everyone else.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P05-09,status,Status Obsessive,an airport gate with four delayed flights,treats the accessory as an unexpected class signal,"In an airport gate with four delayed flights, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P05-10,status,Status Obsessive,an airport gate with four delayed flights,converts a mundane audio choice into a rivalry,"In an airport gate with four delayed flights, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming social judgment on everyone else.",social judgment / clear calls and simple audio without wireless anxiety,,
P05-11,status,Status Obsessive,a home office shared with a loud pet,treats the accessory as an unexpected class signal,"In a home office shared with a loud pet, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames noise.",noise / clear calls and simple audio without wireless anxiety,,
P05-12,status,Status Obsessive,a home office shared with a loud pet,converts a mundane audio choice into a rivalry,"In a home office shared with a loud pet, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming dead wireless batteries on everyone else.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P05-13,status,Status Obsessive,a library that permits whispering only,treats the accessory as an unexpected class signal,"In a library that permits whispering only, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames lost earbuds.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P05-14,status,Status Obsessive,a library that permits whispering only,converts a mundane audio choice into a rivalry,"In a library that permits whispering only, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming awkward calls on everyone else.",awkward calls / clear calls and simple audio without wireless anxiety,,
P05-15,status,Status Obsessive,a sidewalk construction zone,treats the accessory as an unexpected class signal,"In a sidewalk construction zone, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames social judgment.",social judgment / clear calls and simple audio without wireless anxiety,,
P05-16,status,Status Obsessive,a sidewalk construction zone,converts a mundane audio choice into a rivalry,"In a sidewalk construction zone, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming noise on everyone else.",noise / clear calls and simple audio without wireless anxiety,,
P05-17,status,Status Obsessive,a family video call with three people talking at once,treats the accessory as an unexpected class signal,"In a family video call with three people talking at once, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames dead wireless batteries.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P05-18,status,Status Obsessive,a family video call with three people talking at once,converts a mundane audio choice into a rivalry,"In a family video call with three people talking at once, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming lost earbuds on everyone else.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P05-19,status,Status Obsessive,a hotel lobby with suspiciously perfect furniture,treats the accessory as an unexpected class signal,"In a hotel lobby with suspiciously perfect furniture, two strangers silently judge each other's rank because one owns unbranded white wired earbuds and one blames awkward calls.",awkward calls / clear calls and simple audio without wireless anxiety,,
P05-20,status,Status Obsessive,a hotel lobby with suspiciously perfect furniture,converts a mundane audio choice into a rivalry,"In a hotel lobby with suspiciously perfect furniture, a stranger treats unbranded white wired earbuds as a quiet membership badge while blaming social judgment on everyone else.",social judgment / clear calls and simple audio without wireless anxiety,,
P06-01,antimarketing,Anti-Marketing Critic,a crowded morning train,rejects exaggerated technology language in favor of one boring benefit,"In a crowded morning train, an advertisement for unbranded white wired earbuds promises escape from noise, but the crew refuses to leave.",noise / clear calls and simple audio without wireless anxiety,,
P06-02,antimarketing,Anti-Marketing Critic,a crowded morning train,calls out the absurd gap between ad fantasy and daily reality,"In a crowded morning train, an ad crew promises unbranded white wired earbuds will erase dead wireless batteries, but the director keeps shouting the opposite.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P06-03,antimarketing,Anti-Marketing Critic,an open-plan office,rejects exaggerated technology language in favor of one boring benefit,"In an open-plan office, an advertisement for unbranded white wired earbuds promises escape from lost earbuds, but the crew refuses to leave.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P06-04,antimarketing,Anti-Marketing Critic,an open-plan office,calls out the absurd gap between ad fantasy and daily reality,"In an open-plan office, an ad crew promises unbranded white wired earbuds will erase awkward calls, but the director keeps shouting the opposite.",awkward calls / clear calls and simple audio without wireless anxiety,,
P06-05,antimarketing,Anti-Marketing Critic,a coffee shop with one broken table leg,rejects exaggerated technology language in favor of one boring benefit,"In a coffee shop with one broken table leg, an advertisement for unbranded white wired earbuds promises escape from social judgment, but the crew refuses to leave.",social judgment / clear calls and simple audio without wireless anxiety,,
P06-06,antimarketing,Anti-Marketing Critic,a coffee shop with one broken table leg,calls out the absurd gap between ad fantasy and daily reality,"In a coffee shop with one broken table leg, an ad crew promises unbranded white wired earbuds will erase noise, but the director keeps shouting the opposite.",noise / clear calls and simple audio without wireless anxiety,,
P06-07,antimarketing,Anti-Marketing Critic,a kitchen where dinner is burning,rejects exaggerated technology language in favor of one boring benefit,"In a kitchen where dinner is burning, an advertisement for unbranded white wired earbuds promises escape from dead wireless batteries, but the crew refuses to leave.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P06-08,antimarketing,Anti-Marketing Critic,a kitchen where dinner is burning,calls out the absurd gap between ad fantasy and daily reality,"In a kitchen where dinner is burning, an ad crew promises unbranded white wired earbuds will erase lost earbuds, but the director keeps shouting the opposite.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P06-09,antimarketing,Anti-Marketing Critic,an airport gate with four delayed flights,rejects exaggerated technology language in favor of one boring benefit,"In an airport gate with four delayed flights, an advertisement for unbranded white wired earbuds promises escape from awkward calls, but the crew refuses to leave.",awkward calls / clear calls and simple audio without wireless anxiety,,
